"chr","start","end","methodname"
"chr11",71954982,71955599,"bumphunter"
"chr2",43454524,43455103,"bumphunter"
"chr3",173114306,173116248,"bumphunter"
"chr12",63025490,63026424,"bumphunter"
"chr4",175138377,175140004,"bumphunter"
"chr17",75368750,75369939,"bumphunter"
"chr7",116139180,116140593,"bumphunter"
"chr20",44746392,44747006,"bumphunter"
"chr1",200003800,200004757,"bumphunter"
"chr11",89224288,89225042,"bumphunter"
"chr10",45914276,45914949,"bumphunter"
"chr16",69141250,69141478,"bumphunter"
"chr7",94284258,94285004,"bumphunter"
"chr16",62069806,62070365,"bumphunter"
"chr7",100769605,100770476,"bumphunter"
"chr2",12858298,12859103,"bumphunter"
"chr11",2292361,2293117,"bumphunter"
"chr3",129693370,129694683,"bumphunter"
"chr7",150652702,150653195,"bumphunter"
"chr10",22622793,22625874,"bumphunter"
"chr4",16085077,16086085,"bumphunter"
"chr6",30652202,30653799,"bumphunter"
"chr8",86350278,86351195,"bumphunter"
"chr7",127672152,127672658,"bumphunter"
"chr6",31126267,31127527,"bumphunter"
"chr3",62362660,62364390,"bumphunter"
"chr7",35292896,35293892,"bumphunter"
"chr5",115152326,115152938,"bumphunter"
"chr1",145473005,145473700,"bumphunter"
"chr10",91294781,91295855,"bumphunter"
"chr1",91184126,91185441,"bumphunter"
"chr4",76555547,76556042,"bumphunter"
"chr5",83678796,83680326,"bumphunter"
"chr21",34398085,34398532,"bumphunter"
"chr18",74960629,74962369,"bumphunter"
"chr7",18534872,18535786,"bumphunter"
"chr17",48545805,48546620,"bumphunter"
"chr4",122301573,122302331,"bumphunter"
"chr4",101111147,101111927,"bumphunter"
"chr1",114696350,114697113,"bumphunter"
"chr1",31845904,31846873,"bumphunter"
"chr13",100641243,100642106,"bumphunter"
"chr7",27280914,27282444,"bumphunter"
"chr16",10275767,10277505,"bumphunter"
"chr14",29235894,29236535,"bumphunter"
"chr5",140345461,140346403,"bumphunter"
"chr5",141704734,141705539,"bumphunter"
"chr5",172661803,172662741,"bumphunter"
"chr7",155166205,155167844,"bumphunter"
"chr17",35293627,35294740,"bumphunter"
"chr5",72594461,72596188,"bumphunter"
"chr7",87229552,87230344,"bumphunter"
"chr17",6679254,6679781,"bumphunter"
"chr2",162282922,162284206,"bumphunter"
"chr11",13030309,13030876,"bumphunter"
"chr17",7553760,7555411,"bumphunter"
"chr1",119526783,119528848,"bumphunter"
"chr16",82660317,82660873,"bumphunter"
"chr5",151066268,151066730,"bumphunter"
"chr14",52535758,52536893,"bumphunter"
"chr11",843897,844686,"bumphunter"
"chr10",11206772,11207015,"bumphunter"
"chr16",55512806,55513660,"bumphunter"
"chr6",29760096,29760909,"bumphunter"
"chr2",176947764,176949017,"bumphunter"
"chr1",65467980,65468921,"bumphunter"
"chr2",228582486,228582820,"bumphunter"
"chr6",137816475,137817846,"bumphunter"
"chr11",8615356,8616172,"bumphunter"
"chr1",67217673,67218505,"bumphunter"
"chr15",75018495,75019376,"bumphunter"
"chr14",42074503,42075975,"bumphunter"
"chr4",25657365,25657951,"bumphunter"
"chr5",95768418,95769079,"bumphunter"
"chr18",21718458,21719568,"bumphunter"
"chr1",119543057,119544329,"bumphunter"
"chr10",129535138,129535898,"bumphunter"
"chr5",140624869,140625389,"bumphunter"
"chr6",30922803,30923865,"bumphunter"
"chr18",5543271,5544237,"bumphunter"
"chr20",13200685,13201353,"bumphunter"
"chr19",46800054,46800602,"bumphunter"
"chr15",45670865,45671347,"bumphunter"
"chr11",63258214,63258803,"bumphunter"
"chr10",8096526,8097689,"bumphunter"
"chr11",67350976,67352041,"bumphunter"
"chr19",15342548,15343395,"bumphunter"
"chr1",155290418,155291345,"bumphunter"
"chr6",33169581,33171491,"bumphunter"
"chr4",188916496,188917251,"bumphunter"
"chr17",6899085,6899888,"bumphunter"
"chr12",103310839,103311761,"bumphunter"
"chr11",111169795,111170648,"bumphunter"
"chr2",223162666,223163809,"bumphunter"
"chr5",101631990,101632501,"bumphunter"
"chr10",70321243,70321959,"bumphunter"
"chr6",29795992,29796591,"bumphunter"
"chr14",36983129,36983949,"bumphunter"
"chr1",203598330,203599089,"bumphunter"
"chr19",12978255,12978805,"bumphunter"
"chr10",119304102,119305335,"bumphunter"
"chr2",24232603,24233341,"bumphunter"
"chr11",89867385,89867976,"bumphunter"
"chr16",23846838,23848003,"bumphunter"
"chr12",47219626,47220092,"bumphunter"
"chr2",74730047,74730948,"bumphunter"
"chr13",79177195,79177925,"bumphunter"
"chr5",170735754,170736572,"bumphunter"
"chr17",32483560,32484259,"bumphunter"
"chr5",150399781,150400672,"bumphunter"
"chr3",50377755,50378664,"bumphunter"
"chr2",45028604,45030384,"bumphunter"
"chr1",76540110,76540641,"bumphunter"
"chr1",179545073,179545458,"bumphunter"
"chr7",100318080,100318321,"bumphunter"
"chr15",83953690,83954395,"bumphunter"
"chr7",79081455,79083054,"bumphunter"
"chr19",11784246,11785248,"bumphunter"
"chr11",88070661,88071458,"bumphunter"
"chr16",66637919,66638702,"bumphunter"
"chr5",140864020,140864834,"bumphunter"
"chr1",92951355,92952897,"bumphunter"
"chr10",124894943,124896232,"bumphunter"
"chr13",46189838,46190198,"bumphunter"
"chr10",94825547,94826319,"bumphunter"
"chr17",33775295,33776683,"bumphunter"
"chr1",107682283,107683187,"bumphunter"
"chr6",55443757,55444335,"bumphunter"
"chr3",42814427,42814948,"bumphunter"
"chr16",67184918,67185429,"bumphunter"
"chr14",24640947,24641852,"bumphunter"
"chr3",38035463,38036060,"bumphunter"
"chr15",81426347,81426820,"bumphunter"
"chr6",85473773,85474595,"bumphunter"
"chr1",119531625,119532925,"bumphunter"
"chr4",55092884,55094011,"bumphunter"
"chr10",99531038,99532410,"bumphunter"
"chr4",41882564,41883172,"bumphunter"
"chr12",54409207,54409770,"bumphunter"
"chr11",20617937,20618399,"bumphunter"
"chr19",4534986,4535446,"bumphunter"
"chr6",108485837,108487506,"bumphunter"
"chr6",28175283,28176230,"bumphunter"
"chr12",41086680,41087584,"bumphunter"
"chr4",122686038,122686667,"bumphunter"
"chr17",27044629,27045302,"bumphunter"
"chr1",43919084,43920264,"bumphunter"
"chr13",36919344,36919960,"bumphunter"
"chr17",73583839,73584617,"bumphunter"
"chr20",42875645,42876091,"bumphunter"
"chr4",46391159,46391929,"bumphunter"
"chr12",104609432,104610064,"bumphunter"
"chr14",23834710,23835212,"bumphunter"
"chr5",140305713,140306458,"bumphunter"
"chr7",155325552,155326803,"bumphunter"
"chr14",95234658,95235489,"bumphunter"
"chr2",185462269,185463218,"bumphunter"
"chr3",27770852,27772058,"bumphunter"
"chr3",42306150,42307193,"bumphunter"
"chr2",220117599,220117945,"bumphunter"
"chr10",106399877,106400880,"bumphunter"
"chr1",152487844,152488368,"bumphunter"
"chr22",51016501,51017432,"bumphunter"
"chr2",17721431,17722068,"bumphunter"
"chr12",120241287,120242513,"bumphunter"
"chr3",26663551,26664741,"bumphunter"
"chr6",99272559,99273830,"bumphunter"
"chr2",26624450,26625326,"bumphunter"
"chr1",79471984,79472643,"bumphunter"
"chr11",93062935,93064234,"bumphunter"
"chr12",104443742,104444418,"bumphunter"
"chr18",11148510,11149068,"bumphunter"
"chr11",33037397,33037916,"bumphunter"
"chr2",108602784,108603466,"bumphunter"
"chr13",28543113,28543520,"bumphunter"
"chr5",70882722,70883447,"bumphunter"
"chr20",42544648,42545099,"bumphunter"
"chr15",74657911,74658573,"bumphunter"
"chr8",65291287,65292498,"bumphunter"
"chr22",45608345,45608713,"bumphunter"
"chr6",28641622,28642394,"bumphunter"
"chr19",39465821,39466757,"bumphunter"
"chr13",33001250,33002820,"bumphunter"
"chr1",50892299,50893984,"bumphunter"
"chr14",97684772,97686001,"bumphunter"
"chr3",158449660,158450833,"bumphunter"
"chr7",96632294,96633726,"bumphunter"
"chr4",5052526,5053596,"bumphunter"
"chr6",117086479,117087238,"bumphunter"
"chr11",70672365,70673256,"bumphunter"
"chr17",38465281,38465510,"bumphunter"
"chr3",50604613,50605269,"bumphunter"
"chr4",155661691,155664311,"bumphunter"
"chr20",57089933,57090317,"bumphunter"
"chr3",138665654,138666473,"bumphunter"
"chr11",31848347,31849262,"bumphunter"
"chr11",43602845,43603214,"bumphunter"
"chr6",100050480,100051841,"bumphunter"
"chr3",170302404,170304045,"bumphunter"
"chr21",45148332,45149373,"bumphunter"
"chr10",103880405,103881107,"bumphunter"
"chr19",9473565,9474128,"bumphunter"
"chr4",46994748,46996264,"bumphunter"
"chr4",111544016,111544463,"bumphunter"
"chr12",15475116,15476085,"bumphunter"
"chr4",140201065,140201652,"bumphunter"
"chr11",61595550,61596755,"bumphunter"
"chr1",197881327,197882469,"bumphunter"
"chr19",38747079,38747378,"bumphunter"
"chr8",121137288,121138317,"bumphunter"
"chr15",60689670,60690974,"bumphunter"
"chr2",162094696,162095662,"bumphunter"
"chr10",54073047,54075082,"bumphunter"
"chr15",76628154,76629110,"bumphunter"
"chr1",208083913,208084640,"bumphunter"
"chr12",3862221,3862810,"bumphunter"
"chr11",20184128,20185382,"bumphunter"
"chr1",91190005,91191254,"bumphunter"
"chr14",29234671,29235469,"bumphunter"
"chr1",116380946,116381660,"bumphunter"
"chr6",29691603,29692475,"bumphunter"
"chr5",94955575,94956175,"bumphunter"
"chr12",89744471,89744877,"bumphunter"
"chr6",44309927,44310640,"bumphunter"
"chr20",61583686,61584159,"bumphunter"
"chr13",46424943,46426263,"bumphunter"
"chr12",52626814,52627576,"bumphunter"
"chr1",47697429,47698126,"bumphunter"
"chr13",100643858,100644657,"bumphunter"
"chr7",156810507,156811655,"bumphunter"
"chr17",15165803,15166505,"bumphunter"
"chr7",27169674,27171391,"bumphunter"
"chr11",111382915,111384223,"bumphunter"
"chr11",22214333,22215407,"bumphunter"
"chr5",114937535,114938459,"bumphunter"
"chr10",93646991,93647857,"bumphunter"
"chr4",48491941,48492344,"bumphunter"
"chr10",25465171,25465503,"bumphunter"
"chr3",46853631,46854311,"bumphunter"
"chr7",127670703,127671195,"bumphunter"
"chr1",197887295,197888512,"bumphunter"
"chr7",19812327,19813525,"bumphunter"
"chr13",53422381,53423262,"bumphunter"
"chr6",1624386,1625574,"bumphunter"
"chr11",69633659,69634709,"bumphunter"
"chr12",85673860,85674694,"bumphunter"
"chr15",74218418,74218921,"bumphunter"
"chr10",50886999,50887934,"bumphunter"
"chr6",32977217,32978053,"bumphunter"
"chr21",26934197,26934885,"bumphunter"
"chr3",87137933,87138700,"bumphunter"
"chr1",48937016,48938137,"bumphunter"
"chr5",100237986,100239319,"bumphunter"
"chr2",178257176,178257923,"bumphunter"
"chr5",145717597,145718965,"bumphunter"
"chr8",105478683,105479705,"bumphunter"
"chr12",133065724,133066069,"bumphunter"
"chr3",54157353,54157900,"bumphunter"
"chr1",53067365,53068197,"bumphunter"
"chr7",151106990,151107924,"bumphunter"
"chr4",172733760,172734843,"bumphunter"
"chr2",88751621,88752836,"bumphunter"
"chr10",52750736,52751341,"bumphunter"
"chr10",102995440,102996798,"bumphunter"
"chr5",167956306,167957046,"bumphunter"
"chr6",123317124,123318023,"bumphunter"
"chr8",11561283,11561724,"bumphunter"
"chr1",63795279,63796263,"bumphunter"
"chr18",24130267,24131604,"bumphunter"
"chr20",2781122,2781685,"bumphunter"
"chr11",70507825,70508659,"bumphunter"
"chr13",20735139,20736342,"bumphunter"
"chr10",100995305,100997023,"bumphunter"
"chr2",183730940,183732062,"bumphunter"
"chr7",130125390,130126871,"bumphunter"
"chr1",91182128,91183051,"bumphunter"
"chr15",39871808,39872463,"bumphunter"
"chr1",78511140,78512129,"bumphunter"
"chr16",8806359,8807043,"bumphunter"
"chr15",63334355,63334937,"bumphunter"
"chr8",70982867,70983760,"bumphunter"
"chr6",73331114,73331680,"bumphunter"
"chr2",187713554,187714279,"bumphunter"
"chr11",27015519,27015991,"bumphunter"
"chr1",12123262,12124114,"bumphunter"
"chr7",96651915,96652481,"bumphunter"
"chr17",38333933,38334623,"bumphunter"
"chr5",131592959,131593413,"bumphunter"
"chr6",87646738,87647644,"bumphunter"
"chr11",46354005,46355283,"bumphunter"
"chr2",192015279,192016217,"bumphunter"
"chr14",62583787,62584600,"bumphunter"
"chr2",45159434,45160554,"bumphunter"
"chr8",55370192,55370579,"bumphunter"
"chr3",181428046,181428697,"bumphunter"
"chr2",21022431,21023042,"bumphunter"
"chr11",35639276,35639686,"bumphunter"
"chr18",31020418,31021065,"bumphunter"
"chr2",56150255,56151071,"bumphunter"
"chr11",101454626,101454996,"bumphunter"
"chr3",44038869,44040206,"bumphunter"
"chr6",391114,392131,"bumphunter"
"chr13",70681804,70682771,"bumphunter"
"chr6",146136083,146136749,"bumphunter"
"chr5",82767280,82767968,"bumphunter"
"chr7",75932317,75932977,"bumphunter"
"chr6",30720080,30720491,"bumphunter"
"chr22",38071001,38071677,"bumphunter"
"chr2",63285097,63286049,"bumphunter"
"chr14",92413497,92414425,"bumphunter"
"chr1",95392675,95393429,"bumphunter"
"chr1",98510865,98511908,"bumphunter"
"chr13",45491859,45492839,"bumphunter"
"chr2",80531483,80531898,"bumphunter"
"chr5",45695241,45696592,"bumphunter"
"chr8",99960498,99962347,"bumphunter"
"chr12",54366760,54367460,"bumphunter"
"chr15",91427184,91428056,"bumphunter"
"chr19",36024217,36024876,"bumphunter"
"chr17",33814163,33814891,"bumphunter"
"chr11",104034058,104035204,"bumphunter"
"chr6",2903258,2904005,"bumphunter"
"chr6",29894619,29895204,"bumphunter"
"chr17",48711658,48712370,"bumphunter"
"chr4",57371368,57371927,"bumphunter"
"chr2",20865651,20866414,"bumphunter"
"chr3",49314155,49314920,"bumphunter"
"chr17",35290307,35291580,"bumphunter"
"chr13",29292888,29293454,"bumphunter"
"chr12",2943902,2944493,"bumphunter"
"chr1",116370764,116371475,"bumphunter"
"chr1",158150581,158151363,"bumphunter"
"chr1",92949608,92950836,"bumphunter"
"chr2",27957843,27958897,"bumphunter"
"chr1",179711583,179712591,"bumphunter"
"chr10",47083283,47083632,"bumphunter"
"chr12",26348093,26349129,"bumphunter"
"chr14",75894136,75894692,"bumphunter"
"chr8",23567310,23567941,"bumphunter"
"chr8",144635260,144636113,"bumphunter"
"chr6",27835191,27835460,"bumphunter"
"chr11",116450919,116452003,"bumphunter"
"chr2",175199259,175199828,"bumphunter"
"chr5",1875548,1876397,"bumphunter"
"chr10",119301464,119302540,"bumphunter"
"chr8",109095264,109096151,"bumphunter"
"chr7",94023308,94024254,"bumphunter"
"chr3",183993341,183994568,"bumphunter"
"chr13",28491326,28492669,"bumphunter"
"chr1",154474108,154475269,"bumphunter"
"chr2",71126275,71127304,"bumphunter"
"chr4",81106240,81106857,"bumphunter"
"chr11",94134015,94135029,"bumphunter"
"chr2",162273011,162273928,"bumphunter"
"chr8",24772137,24772513,"bumphunter"
"chr18",55019621,55020324,"bumphunter"
"chr10",71891928,71892787,"bumphunter"
"chr2",180725622,180726697,"bumphunter"
"chr3",154796701,154798079,"bumphunter"
"chr14",51562381,51562890,"bumphunter"
"chr3",126113454,126114064,"bumphunter"
"chr12",5018229,5019482,"bumphunter"
"chr6",26017939,26018185,"bumphunter"
"chr6",43276478,43276781,"bumphunter"
"chr4",41869086,41869611,"bumphunter"
"chr2",237077920,237078733,"bumphunter"
"chr13",58203618,58204379,"bumphunter"
"chr8",122651271,122652631,"bumphunter"
"chr11",2464822,2465491,"bumphunter"
"chr5",149792249,149792840,"bumphunter"
"chr22",21386798,21387058,"bumphunter"
"chr2",85106954,85107751,"bumphunter"
"chr21",42797847,42798747,"bumphunter"
"chr10",102890886,102891568,"bumphunter"
"chr20",25565460,25566563,"bumphunter"
"chr22",21368291,21369010,"bumphunter"
"chr1",204328843,204329775,"bumphunter"
"chr3",36422059,36422406,"bumphunter"
"chr7",21985277,21985935,"bumphunter"
"chr7",98971627,98972197,"bumphunter"
"chr3",38080635,38081287,"bumphunter"
"chr5",87967728,87968844,"bumphunter"
"chr4",104640197,104641548,"bumphunter"
"chr5",72529662,72530472,"bumphunter"
"chr6",100911240,100912168,"bumphunter"
"chr22",27053195,27053934,"bumphunter"
"chr20",37230326,37230741,"bumphunter"
"chr18",56886915,56887785,"bumphunter"
"chr17",60885250,60886079,"bumphunter"
"chr7",153584416,153584873,"bumphunter"
"chr4",175135048,175135997,"bumphunter"
"chr4",57522493,57523055,"bumphunter"
"chr8",101117949,101118843,"bumphunter"
"chr11",117747390,117748512,"bumphunter"
"chr8",145024637,145025178,"bumphunter"
"chr2",119916431,119916686,"bumphunter"
"chr10",105036611,105036863,"bumphunter"
"chr16",3062056,3062975,"bumphunter"
"chr10",102986306,102987483,"bumphunter"
"chr5",44388596,44389406,"bumphunter"
"chr10",120354627,120355427,"bumphunter"
"chr4",121844174,121844401,"bumphunter"
"chr14",54421010,54421578,"bumphunter"
"chr6",31733810,31734580,"bumphunter"
"chr4",165304842,165305334,"bumphunter"
"chr11",68780661,68781357,"bumphunter"
"chr2",239140032,239140369,"bumphunter"
"chr17",33759484,33760527,"bumphunter"
"chr13",112721325,112721950,"bumphunter"
"chr19",17958339,17959082,"bumphunter"
"chr8",11560299,11560851,"bumphunter"
"chr17",19290353,19290762,"bumphunter"
"chr2",127782552,127783370,"bumphunter"
"chr12",66582582,66583431,"bumphunter"
"chr2",200333729,200335148,"bumphunter"
"chr17",76975944,76976357,"bumphunter"
"chr2",182548750,182549604,"bumphunter"
"chr13",100623942,100624293,"bumphunter"
"chr7",120968877,120969174,"bumphunter"
"chr13",37006063,37006748,"bumphunter"
"chr2",43863985,43865055,"bumphunter"
"chr6",28583971,28584464,"bumphunter"
"chr5",147161924,147162461,"bumphunter"
"chr17",6616351,6617580,"bumphunter"
"chr5",54516372,54516879,"bumphunter"
"chr3",138658243,138659021,"bumphunter"
"chr8",72756656,72757004,"bumphunter"
"chr16",56659336,56659964,"bumphunter"
"chr2",223176167,223177596,"bumphunter"
"chr1",27113219,27113753,"bumphunter"
"chr10",118922194,118923234,"bumphunter"
"chr4",17783205,17783502,"bumphunter"
"chr6",27106988,27107756,"bumphunter"
"chr12",14720726,14721288,"bumphunter"
"chr11",76380921,76382149,"bumphunter"
"chr17",61553938,61554929,"bumphunter"
"chr8",85096835,85097429,"bumphunter"
"chr1",18956762,18957632,"bumphunter"
"chr8",72273984,72274615,"bumphunter"
"chr4",109092628,109093644,"bumphunter"
"chr6",127840328,127840755,"bumphunter"
"chr11",30038615,30039113,"bumphunter"
"chr1",66257553,66258134,"bumphunter"
"chr20",37302636,37303484,"bumphunter"
"chr2",131512651,131513216,"bumphunter"
"chr3",192444985,192445594,"bumphunter"
"chr13",108922032,108922745,"bumphunter"
"chr11",6341717,6341908,"bumphunter"
"chr10",23982350,23983111,"bumphunter"
"chr18",60985269,60986115,"bumphunter"
"chr5",19988018,19988944,"bumphunter"
"chr7",30950813,30951801,"bumphunter"
"chr10",115938512,115939717,"bumphunter"
"chr10",102893925,102894639,"bumphunter"
"chr15",28341500,28342256,"bumphunter"
"chr19",15580310,15580721,"bumphunter"
"chr11",32454718,32455735,"bumphunter"
"chr6",29943056,29943677,"bumphunter"
"chr1",110198240,110199126,"bumphunter"
"chr4",145566200,145567731,"bumphunter"
"chr8",23571706,23572595,"bumphunter"
"chr10",28035631,28036151,"bumphunter"
"chr18",904851,905611,"bumphunter"
"chr1",46632363,46633153,"bumphunter"
"chr7",136553088,136553884,"bumphunter"
"chr3",79816794,79817333,"bumphunter"
"chr5",2754753,2756320,"bumphunter"
"chr20",21378045,21378560,"bumphunter"
"chr18",49868101,49868788,"bumphunter"
"chr1",200011273,200011988,"bumphunter"
"chr3",192958565,192959372,"bumphunter"
"chr5",79330669,79331135,"bumphunter"
"chr20",44540533,44541153,"bumphunter"
"chr18",59000800,59001726,"bumphunter"
"chr17",48911983,48912952,"bumphunter"
"chr2",54086854,54087552,"bumphunter"
"chr1",201915446,201915999,"bumphunter"
"chr1",91191583,91192803,"bumphunter"
"chr1",167090618,167091161,"bumphunter"
"chr17",21280405,21281507,"bumphunter"
"chr1",111217194,111218554,"bumphunter"
"chr4",185937405,185938303,"bumphunter"
"chr10",22633916,22635028,"bumphunter"
"chr1",50889128,50889510,"bumphunter"
"chr3",50242325,50243565,"bumphunter"
"chr6",49518079,49518627,"bumphunter"
"chr1",248020331,248021163,"bumphunter"
"chr17",27917879,27918580,"bumphunter"
"chr17",6658706,6659562,"bumphunter"
"chr11",58672888,58673615,"bumphunter"
"chr12",75728104,75728752,"bumphunter"
"chr10",118892211,118893602,"bumphunter"
"chr7",54609587,54610320,"bumphunter"
"chr2",38302230,38303506,"bumphunter"
"chr3",149374535,149375528,"bumphunter"
"chr14",60385995,60386828,"bumphunter"
"chr7",116962950,116963888,"bumphunter"
"chr5",5033763,5034397,"bumphunter"
"chr3",46506104,46506554,"bumphunter"
"chr2",71205159,71205891,"bumphunter"
"chr13",51417469,51418221,"bumphunter"
"chr1",118727658,118728226,"bumphunter"
"chr11",31839314,31839947,"bumphunter"
